#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
Festive Exhibition Reds Case,MX22268,11/23/2022,96.00,0 - 0
"Château Lalande Borie, Saint-Julien 2015",CM27611,11/23/2022,30.00,2020 - 2026
The Society's White Burgundy 2021,BU82501,11/23/2022,12.95,2022 - 2023
Bin #011 Alicante 2021,FC42131,11/23/2022,10.95,2022 - 2025
The Society's Exhibition Limarí Chardonnay 2021,CE12111,11/23/2022,10.95,2021 - 2027
The Society's Exhibition Vacqueyras 2020,RH64171,11/23/2022,11.95,2022 - 2027
The Society's Exhibition Mendoza Malbec 2020,AR4501,11/23/2022,12.50,2020 - 2025
The Society's Exhibition Langhe Nebbiolo 2019,IT33011,11/23/2022,13.95,2021 - 2025
The Society's Exhibition Sancerre 2021,LO17261,11/23/2022,17.50,2022 - 2025
The Society's Exhibition Central Otago Pinot Noir 2020,NZ12871,11/23/2022,18.00,2021 - 2028
The Society's Exhibition Margaux 2016,CM22331,11/23/2022,24.00,2019 - 2025
"The Society's Chilean Cabernet Sauvignon, Maipo 2020",CE11661,11/23/2022,7.95,2021 - 2024
"Salice Salentino Riserva, Vallone 2019",IT33921,11/23/2022,8.75,2022 - 2026
"Château Le Clos du Notaire, Côtes de Bourg 2017",CB6101,11/23/2022,10.50,2020 - 2026
The Society's French Syrah 2021,RH64611,11/23/2022,7.95,2022 - 2024
"Monbazillac, Château Pech La Calevie 2019",FC41381,11/23/2022,13.95,2021 - 2026
Half bottle of Château De Malle Sauternes 2006,BW7172,11/23/2022,14.95,2016 - 2027
"Dow's Tawny Port, 10 Years Old",PN291,11/23/2022,21.50,0 - 0
Cruz de Piedra Macabeo Calatayud 2021,SP17531,11/23/2022,6.95,2022 - 2023
The Society's White Rioja 2020,SP17751,11/23/2022,8.95,2022 - 2024
Navajas Blanco Crianza Rioja 2018,SP17401,11/23/2022,9.25,2020 - 2023
"Pazo de Villarei Albariño, Rías Baixas 2021",SP17901,11/23/2022,9.95,2022 - 2024
"Celler del Roure Cullerot Blanco, Valencia 2021",SP18111,11/23/2022,10.95,2022 - 2024
Clay Creek Vineyards California Chardonnay 2020,US10641,11/23/2022,9.50,2021 - 2025
Half bottle of Quady Essensia Orange Muscat 2021,US11272,11/23/2022,16.00,2022 - 2030
Fess Parker Santa Barbara Chardonnay 2020,US10211,11/23/2022,17.00,2021 - 2025
Elk Cove Vineyards Willamette Valley Estate Pinot Blanc 2021,US10931,11/23/2022,18.50,2022 - 2024
"Psarades Dafni, Domaine Lyrarakis 2021",GR2441,11/23/2022,9.50,2021 - 2023
"Tokaji Dry Furmint, Pajzos 2021",HU1901,11/23/2022,8.95,2022 - 2024
"Lagrein Riserva, Castel Firmian Mezzacorona 2019",IT36001,11/23/2022,9.95,2022 - 2027
Thanksgiving Case,MX22325,11/23/2022,72.00,0 - 0
Spanish Food Case,XC2212,12/11/2022,43.00,0 - 0
The Society's Cava Reserva Brut NV,SG1661,12/12/2022,9.50,0 - 0
The Society's Saumur Brut NV,SG1061,12/12/2022,10.95,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,12/12/2022,11.95,0 - 0
"Château Lalande Borie, Saint-Julien 2015",CM27611,12/12/2022,30.00,2020 - 2026
"Vin de France 'Résilience' Chenin Blanc, Alexandre Cady 2021",LO17511,12/12/2022,9.95,2022 - 2024
"Vouvray Sec 'Confidences', Famille Bougrier 2021",LO17471,12/12/2022,9.50,2022 - 2025
"Coteaux du Layon Saint Aubin, Domaine Cady 2021",LO17671,12/12/2022,14.50,2022 - 2029
"Muscadet Sèvre-et-Maine sur Lie, Comte Leloup du Château de Chasseloir, Cuvée des Ceps Centenaires, Chéreau-Carré 2018",LO16971,12/12/2022,10.50,2021 - 2025
"Domaine Laborie, Pays d'Oc 2021",FC42051,12/12/2022,6.75,2022 - 2023
Baccolo Appassimento Rosso Veneto 2020,IT33341,12/12/2022,7.25,2021 - 2023
"Syrah-Mourvèdre, Côtes de Thongue, Domaine La Condamine L'Evêque 2021",FC42361,12/12/2022,7.50,2022 - 2024
"Val de Loire Sauvignon Blanc, Famille Bougrier 2021",LO17171,12/12/2022,7.50,2022 - 2023
"Viña Zorzal Garnacha, Navarra 2020",SP16981,12/12/2022,7.95,2021 - 2023
The Society's White Rioja 2020,SP17751,12/12/2022,8.95,2022 - 2024
The Society's English White 2021,EN1751,12/12/2022,9.50,2022 - 2023
"Pauillac, Ulysse 2019",CM30051,12/12/2022,23.00,2024 - 2037
"Half bottle of Château Cantegril, Barsac 2017",BW6392,12/12/2022,10.95,2019 - 2026
Half bottle of The Society's Muscadet Sèvre-et-Maine sur Lie 2021,LO17912,01/05/2023,4.95,2022 - 2025
Half bottle of The Society's Claret 2020,CL262,01/05/2023,4.50,2021 - 2023
"Half bottle of Montepulciano d'Abruzzo, Vigna Corvino 2021",IT35852,01/05/2023,4.75,2022 - 2025
"Half bottle of Esporão Monte Velho Tinto, Alentejano 2020",PW8722,01/05/2023,4.95,2021 - 2022
"Half bottle of Ventoux Les Traverses, Paul Jaboulet Aîné 2020",RH60832,01/05/2023,5.25,2021 - 2024
"Half bottle of Château Bel Air Perponcher Rouge Réserve, Bordeaux 2019",CB6472,01/05/2023,5.95,2021 - 2024
Half bottle of The Society's Exhibition Fleurie 2021,BJ9242,01/05/2023,6.95,2022 - 2024
2019 Six Classic Communes Case,OC5156,08/13/2020,138.00,0 - 0
"Baron de Brane, Margaux 2019",CM24481,08/13/2020,105.00,2024 - 2038
Half bottle of Quady Essensia Orange Muscat 2021,US11272,02/08/2023,16.00,2022 - 2030
The Society's Cava Reserva Brut NV,SG1661,02/08/2023,9.50,0 - 0
Bogle California Petite Sirah 2018,US9761,02/08/2023,14.50,2021 - 2025
"Château de Camarsac, Bordeaux Supérieur 2019",CB6531,02/08/2023,9.95,2023 - 2027
The Society's Exhibition Margaux 2018,CM23611,02/08/2023,24.50,2023 - 2030
Fess Parker Sta. Rita Hills Pinot Noir 2021,US11231,04/20/2023,24.00,2022 - 2027
Au Bon Climat Santa Maria Valley Pinot Noir 2019,US11121,04/20/2023,26.00,2022 - 2027
Au Bon Climat Santa Barbara Chardonnay 2021,US11141,04/20/2023,27.00,2022 - 2025
Baccolo Appassimento Rosso Veneto 2021,IT37091,07/12/2023,7.75,2022 - 2024
The Society's Sicilian Reserve Red 2019,IT36901,07/12/2023,8.75,2023 - 2027
The Society's Exhibition Langhe Nebbiolo 2019,IT33011,07/12/2023,14.50,2021 - 2025
District 7 Monterey Pinot Noir 2020,US10591,07/12/2023,12.50,2022 - 2024
"Syrah-Mourvèdre, Côtes de Thongue, Domaine La Condamine L'Evêque 2021",FC42361,07/12/2023,7.50,2022 - 2024
"Muga Rosado, Rioja 2022",SP19091,07/12/2023,10.95,2023 - 2024
